epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,943.763,1.82569,2.62729,1.72522,0.89614,0.29371,0.55711,0.2276,2.045,3.51657,2.04562,0.000655914,0.000655914,0.000655914
2,1725.18,1.85244,2.06698,1.70702,0.68749,0.43706,0.50606,0.17589,2.27358,2.53026,2.12154,0.00129639,0.00129639,0.00129639
3,2418.36,1.86967,1.80053,1.67713,0.47135,0.34266,0.33868,0.10691,2.4053,2.90303,2.41892,0.00191047,0.00191047,0.00191047
4,12120.8,1.87105,1.56808,1.66206,0.78606,0.73427,0.78811,0.33088,1.96391,2.18998,1.65972,0.0018812,0.0018812,0.0018812
5,13279.9,1.84469,1.45579,1.60436,0.83009,0.66621,0.75048,0.26858,2.24137,1.629,1.83942,0.0018416,0.0018416,0.0018416
6,14244.6,1.82629,1.3742,1.61425,0.88139,0.81119,0.86073,0.37898,1.84546,1.31225,1.65636,0.001802,0.001802,0.001802
7,16781.9,1.81059,1.27655,1.5812,0.91703,0.81818,0.91841,0.42571,1.78308,1.3108,1.54877,0.0017624,0.0017624,0.0017624
8,17518,1.78218,1.23975,1.5642,0.83681,0.71719,0.81082,0.35026,1.95286,1.25378,1.64232,0.0017228,0.0017228,0.0017228
9,18225.1,1.77303,1.22191,1.56491,0.89564,0.84021,0.88777,0.43782,1.80939,0.95899,1.56323,0.0016832,0.0016832,0.0016832
10,18912.3,1.8155,1.21371,1.5778,0.89938,0.83217,0.89302,0.44451,1.72722,1.07659,1.51518,0.0016436,0.0016436,0.0016436
11,19594.4,1.77409,1.16695,1.55883,0.84877,0.85315,0.8794,0.40244,1.84584,0.99772,1.5988,0.001604,0.001604,0.001604
12,20275,1.7686,1.16629,1.55436,0.89936,0.84366,0.8925,0.39302,1.85639,1.01796,1.59949,0.0015644,0.0015644,0.0015644
13,20968.4,1.74085,1.14612,1.55342,0.92166,0.85315,0.90565,0.41803,1.87689,0.95394,1.58047,0.0015248,0.0015248,0.0015248
14,21651.7,1.73626,1.0941,1.5348,0.88374,0.78322,0.86081,0.38384,1.9521,1.101,1.70616,0.0014852,0.0014852,0.0014852
15,22336.9,1.74012,1.10608,1.53526,0.89682,0.84615,0.89614,0.3862,1.90263,0.95011,1.6055,0.0014456,0.0014456,0.0014456
16,23031.7,1.70249,1.08665,1.52021,0.94136,0.87063,0.91775,0.4575,1.77836,0.88239,1.54416,0.001406,0.001406,0.001406
17,23715.8,1.70538,1.04338,1.50897,0.9093,0.87063,0.92634,0.46823,1.75745,0.90191,1.52273,0.0013664,0.0013664,0.0013664
18,24409.7,1.68888,1.02572,1.50747,0.95302,0.87413,0.93805,0.46141,1.72345,0.79971,1.49616,0.0013268,0.0013268,0.0013268
19,25090.7,1.70592,1.05614,1.5331,0.93719,0.83476,0.92078,0.45234,1.81036,0.8881,1.59106,0.0012872,0.0012872,0.0012872
20,25773.3,1.68517,1.02197,1.52028,0.92921,0.91796,0.94461,0.44997,1.80841,0.78598,1.56958,0.0012476,0.0012476,0.0012476
21,26456.6,1.65734,0.99156,1.48499,0.9337,0.91608,0.95145,0.48673,1.69324,0.78338,1.48634,0.001208,0.001208,0.001208
22,27135.1,1.67551,0.96738,1.51077,0.94085,0.88991,0.93947,0.46395,1.77591,0.81607,1.54426,0.0011684,0.0011684,0.0011684
23,27837.2,1.64714,0.95505,1.46929,0.89681,0.83217,0.90404,0.40054,1.87868,0.93929,1.58904,0.0011288,0.0011288,0.0011288
