epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,969.408,0.76962,2.48871,1.18515,0.77134,0.556,0.6988,0.5267,0.90655,2.56575,1.43675,0.000410354,0.000410354,0.000410354
2,2213.11,0.86741,1.85522,1.26772,0.51559,0.58842,0.55288,0.35137,1.15672,3.36167,1.55728,0.000745145,0.000745145,0.000745145
3,3145.82,0.92788,1.66437,1.2946,0.66258,0.69367,0.73844,0.52437,1.05124,2.19222,1.47888,0.000997437,0.000997437,0.000997437
4,4046.8,0.90282,1.50361,1.26186,0.72343,0.67098,0.75155,0.54723,1.09102,1.86816,1.54376,0.00087875,0.00087875,0.00087875
5,31908.6,0.84799,1.26298,1.22923,0.80522,0.74102,0.80603,0.57789,1.01019,1.36612,1.41965,0.000755,0.000755,0.000755
6,32949.3,0.81233,1.15063,1.18112,0.8526,0.79214,0.86932,0.66031,0.88418,1.20716,1.27361,0.00063125,0.00063125,0.00063125
7,33776.4,0.75035,1.00348,1.14076,0.88411,0.83303,0.89989,0.69359,0.87349,1.07987,1.25568,0.0005075,0.0005075,0.0005075
8,34518.4,0.72299,0.93061,1.1156,0.91433,0.82886,0.89788,0.71297,0.91054,0.96053,1.38201,0.00038375,0.00038375,0.00038375
9,36296.4,0.68479,0.83053,1.09184,0.90647,0.84832,0.90988,0.73571,0.76629,0.88845,1.14303,0.00026,0.00026,0.00026
10,37134.2,0.6324,0.77086,1.04668,0.92083,0.84733,0.91762,0.74336,0.71811,0.79852,1.11755,0.00013625,0.00013625,0.00013625
